Date,iShares MSCI ACWI UCITS ETF (Acc) (IE00B6R52259)
12/1987,1
01/1988,1.0360545472938796
02/1988,1.1278568677793146
03/1988,1.14709387172007
04/1988,1.1549554385858993
05/1988,1.1434628316374698
06/1988,1.1849085786459481
07/1988,1.2678407404582857
08/1988,1.225213356578822
09/1988,1.2687393656519081
10/1988,1.3184737505938626
11/1988,1.308817597007774
12/1988,1.3221192231930678
01/1989,1.42414423500932
02/1989,1.4331086843108176
03/1989,1.4345453892864235
04/1989,1.4786161170901495
05/1989,1.5055454521382776
06/1989,1.511200348269687
07/1989,1.608433890266328
08/1989,1.594697421988702
09/1989,1.667944745847089
10/1989,1.5532785083808431
11/1989,1.5910586015767763
12/1989,1.5754966683318812
01/1990,1.4588792444940393
02/1990,1.378926961524694
03/1990,1.3162734893485568
04/1990,1.282923624847644
05/1990,1.3936548555069537
06/1990,1.3934483598612268
07/1990,1.3648923392899057
08/1990,1.181962639473587
09/1990,1.0600348871217409
10/1990,1.1234904953557596
11/1990,1.0826305922636414
12/1990,1.118890116417311
01/1991,1.1629743840234783
02/1991,1.250994642908434
03/1991,1.3234416805245761
04/1991,1.405517196522458
05/1991,1.4581591358514403
06/1991,1.4200811347753035
07/1991,1.4894326856316005
08/1991,1.4534798040081829
09/1991,1.4491338869867287
10/1991,1.47216824737843
11/1991,1.3558809354331343
12/1991,1.410093648819012
01/1992,1.3985651118149163
02/1992,1.4076171194126417
03/1992,1.3806784311826021
04/1992,1.3863445843710114
05/1992,1.4117348061107864
06/1992,1.3222020667131782
07/1992,1.2631071519787964
08/1992,1.2586539789347881
09/1992,1.2765484406828738
10/1992,1.29691493975964
11/1992,1.4046628523549134
12/1992,1.4167986824455043
01/1993,1.4493436190415916
02/1993,1.520148191188437
03/1993,1.615163425431685
04/1993,1.6308016879179414
05/1993,1.6729556057076715
06/1993,1.7103268022305151
07/1993,1.8195533940631903
08/1993,1.9200939606571852
09/1993,1.8125195270458736
10/1993,1.8878023207349997
11/1993,1.8374181489690442
12/1993,1.9356322576218226
01/1994,2.0916630656563275
02/1994,2.053150943744778
03/1994,1.9200174517423991
04/1994,1.9776301823117883
05/1994,1.9462053039140113
06/1994,1.9049795969527128
07/1994,1.8868156221288492
08/1994,1.9559546319019059
09/1994,1.889231370273687
10/1994,1.9003049051655292
11/1994,1.8444914759717914
12/1994,1.8884743746464985
01/1995,1.8119209554462783
02/1995,1.8109259732232048
03/1995,1.8199805991071236
04/1995,1.8497863485932264
05/1995,1.898795289238147
06/1995,1.8830524588671795
07/1995,1.9509070210459296
08/1995,1.965642657232705
09/1995,2.0453055849717927
10/1995,1.9794931508335685
11/1995,2.045844199567977
12/1995,2.1404836447838225
01/1996,2.214274194420767
02/1996,2.2359011565628624
03/1996,2.2685000913177653
04/1996,2.343327904717287
05/1996,2.37381549326169
06/1996,2.3679286307132386
07/1996,2.244457349301727
08/1996,2.251165466576822
09/1996,2.3541518638845744
10/1996,2.3705261433282048
11/1996,2.4648100105201483
12/1996,2.4824617349302036
01/1997,2.5923480395941705
02/1997,2.7417441541049814
03/1997,2.7176300648251153
04/1997,2.819723619341544
05/1997,2.9783505124357417
06/1997,3.165433835469361
07/1997,3.4000915891138166
08/1997,3.2511456471244284
09/1997,3.3341747144843996
10/1997,3.078176601714905
11/1997,3.060437503615163
12/1997,3.1837663082833645
01/1998,3.3281673634033893
02/1998,3.5474579051907087
03/1998,3.711862922559442
04/1998,3.7206607504344986
05/1998,3.593853335900424
06/1998,3.684571799955541
07/1998,3.6938812645407637
08/1998,3.1627919837816494
09/1998,3.0746945774159404
10/1998,3.231030634675902
11/1998,3.5258168142279342
12/1998,3.6654342779257636
01/1999,3.8619603545742516
02/1999,3.889317922960492
03/1999,4.1680341233402345
04/1999,4.406909486475359
05/1999,4.30777804709128
06/1999,4.577577317995228
07/1999,4.402080955881086
08/1999,4.446380341322601
09/1999,4.359759604495357
10/1999,4.672736834308709
11/1999,4.9870189671385
12/1999,5.429073726542509
01/2000,5.269074641647551
02/2000,5.327998042908896
03/2000,5.773062381204751
04/2000,5.797196507012844
05/2000,5.513463778544977
06/2000,5.548506858108363
07/2000,5.566989894116019
08/2000,5.956326592522132
09/2000,5.7187447345786255
10/2000,5.837720858239878
11/2000,5.306721994633477
12/2000,5.034404562298
01/2001,5.167515937160905
02/2001,4.754894479028739
03/2001,4.642910664009469
04/2001,4.9556254634174985
05/2001,5.128391098622331
06/2001,4.970416398989724
07/2001,4.737588881422625
08/2001,4.320178197960822
09/2001,3.9364409330442727
10/2001,4.059002316789098
11/2001,4.3776826566715
12/2001,4.460601933811274
01/2002,4.426042336480304
02/2002,4.385682614641803
03/2002,4.54464741910257
04/2002,4.261209436931515
05/2002,4.094231021037544
06/2002,3.6170782920799818
07/2002,3.3781706986526685
08/2002,3.369118238431315
09/2002,2.990808510331732
10/2002,3.2092448799155373
11/2002,3.3627767150600394
12/2002,3.030883299966566
01/2003,2.8524186047171014
02/2003,2.8107919417350677
03/2003,2.7706566842858247
04/2003,2.953631702923162
05/2003,2.9423336041875396
06/2003,3.1020152877020744
07/2003,3.200873257276593
08/2003,3.3935770733519353
09/2003,3.2021865345442815
10/2003,3.404677327817981
11/2003,3.3490553002945997
12/2003,3.3815174655916325
01/2004,3.5072257448125663
02/2004,3.561583097454223
03/2004,3.598246844854365
04/2004,3.596564472803331
05/2004,3.5516729308838473
06/2004,3.635679122007405
07/2004,3.553661248120207
08/2004,3.554880370534798
09/2004,3.542016658568753
10/2004,3.535370067051482
11/2004,3.5724469880935614
12/2004,3.622265624696192
01/2005,3.705023574936132
02/2005,3.770265228907286
03/2005,3.771440526990637
04/2005,3.6921372465640334
